"Notes"	"Census Region"	"Census Region Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"33 years"	"33"	"2008"	"2008"	"Male"	"M"	10	72140	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"33 years"	"33"	"2011"	"2011"	"Male"	"M"	14	77137	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"33 years"	"33"	"2012"	"2012"	"Male"	"M"	12	78711	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"33 years"	"33"	"2013"	"2013"	"Male"	"M"	10	85841	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"33 years"	"33"	"2015"	"2015"	"Male"	"M"	18	84930	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"33 years"	"33"	"2016"	"2016"	"Male"	"M"	10	85904	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"33 years"	"33"	"2017"	"2017"	"Male"	"M"	15	85683	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"33 years"	"33"	"2018"	"2018"	"Male"	"M"	12	88326	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"33 years"	"33"	"2019"	"2019"	"Male"	"M"	13	88292	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"33 years"	"33"	"2020 "	"2020"	"Male"	"M"	11	87866	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"1999"	"1999"	"Male"	"M"	15	89630	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"2000"	"2000"	"Male"	"M"	14	85837	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"2001"	"2001"	"Male"	"M"	10	82010	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"2002"	"2002"	"Male"	"M"	15	80697	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"2003"	"2003"	"Male"	"M"	14	80156	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"2004"	"2004"	"Male"	"M"	21	85149	24.7
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"2005"	"2005"	"Male"	"M"	10	79186	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"2006"	"2006"	"Male"	"M"	10	73439	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"2007"	"2007"	"Male"	"M"	12	69932	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"2008"	"2008"	"Male"	"M"	10	68800	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"2009"	"2009"	"Male"	"M"	11	71910	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"2010"	"2010"	"Male"	"M"	10	71878	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"2011"	"2011"	"Male"	"M"	14	73941	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"2012"	"2012"	"Male"	"M"	12	76339	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"2014"	"2014"	"Male"	"M"	10	84362	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"2015"	"2015"	"Male"	"M"	15	81537	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"2016"	"2016"	"Male"	"M"	25	82863	30.2
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"2019"	"2019"	"Male"	"M"	10	85646	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"34 years"	"34"	"2020 "	"2020"	"Male"	"M"	20	85757	23.3
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"35 years"	"35"	"1999"	"1999"	"Male"	"M"	13	94026	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"35 years"	"35"	"2000"	"2000"	"Male"	"M"	15	92133	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"35 years"	"35"	"2001"	"2001"	"Male"	"M"	17	83595	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"35 years"	"35"	"2002"	"2002"	"Male"	"M"	16	80687	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"35 years"	"35"	"2003"	"2003"	"Male"	"M"	13	79861	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"35 years"	"35"	"2004"	"2004"	"Male"	"M"	11	79355	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"35 years"	"35"	"2005"	"2005"	"Male"	"M"	17	84623	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"35 years"	"35"	"2006"	"2006"	"Male"	"M"	19	79457	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"35 years"	"35"	"2007"	"2007"	"Male"	"M"	13	74422	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"35 years"	"35"	"2008"	"2008"	"Male"	"M"	18	71559	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"35 years"	"35"	"2010"	"2010"	"Male"	"M"	17	74175	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"35 years"	"35"	"2012"	"2012"	"Male"	"M"	10	73183	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"35 years"	"35"	"2014"	"2014"	"Male"	"M"	10	76532	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"35 years"	"35"	"2015"	"2015"	"Male"	"M"	11	82699	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"35 years"	"35"	"2017"	"2017"	"Male"	"M"	19	81152	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"35 years"	"35"	"2020 "	"2020"	"Male"	"M"	13	82972	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"1999"	"1999"	"Male"	"M"	24	87004	27.6
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"2000"	"2000"	"Male"	"M"	16	86070	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"2001"	"2001"	"Male"	"M"	33	88590	37.3
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"2002"	"2002"	"Male"	"M"	16	81356	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"2003"	"2003"	"Male"	"M"	11	78066	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"2004"	"2004"	"Male"	"M"	19	77015	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"2005"	"2005"	"Male"	"M"	14	76317	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"2006"	"2006"	"Male"	"M"	16	81202	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"2007"	"2007"	"Male"	"M"	24	76266	31.5
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"2008"	"2008"	"Male"	"M"	18	71797	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"2009"	"2009"	"Male"	"M"	11	69019	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"2010"	"2010"	"Male"	"M"	15	67432	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"2012"	"2012"	"Male"	"M"	10	69971	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"2014"	"2014"	"Male"	"M"	13	73657	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"2015"	"2015"	"Male"	"M"	15	74987	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"2016"	"2016"	"Male"	"M"	12	80387	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"2017"	"2017"	"Male"	"M"	14	78026	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"2018"	"2018"	"Male"	"M"	14	77678	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"36 years"	"36"	"2020 "	"2020"	"Male"	"M"	12	77216	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"1999"	"1999"	"Male"	"M"	22	86321	25.5
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2000"	"2000"	"Male"	"M"	26	84046	30.9
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2001"	"2001"	"Male"	"M"	23	84874	27.1
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2002"	"2002"	"Male"	"M"	28	86321	32.4
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2003"	"2003"	"Male"	"M"	20	79281	25.2
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2004"	"2004"	"Male"	"M"	18	75664	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2005"	"2005"	"Male"	"M"	18	74515	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2006"	"2006"	"Male"	"M"	13	73840	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2007"	"2007"	"Male"	"M"	21	78902	26.6
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2008"	"2008"	"Male"	"M"	25	74246	33.7
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2009"	"2009"	"Male"	"M"	15	70168	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2010"	"2010"	"Male"	"M"	11	67929	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2012"	"2012"	"Male"	"M"	22	72006	30.6
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2013"	"2013"	"Male"	"M"	22	68846	32.0
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2014"	"2014"	"Male"	"M"	13	70897	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2015"	"2015"	"Male"	"M"	19	72193	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2016"	"2016"	"Male"	"M"	17	72893	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2017"	"2017"	"Male"	"M"	12	78343	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2018"	"2018"	"Male"	"M"	18	74642	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2019"	"2019"	"Male"	"M"	19	75379	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"37 years"	"37"	"2020 "	"2020"	"Male"	"M"	20	75613	26.5
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"1999"	"1999"	"Male"	"M"	36	86203	41.8
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2000"	"2000"	"Male"	"M"	29	84647	34.3
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2001"	"2001"	"Male"	"M"	33	82770	39.9
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2002"	"2002"	"Male"	"M"	36	83283	43.2
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2003"	"2003"	"Male"	"M"	21	84696	24.8
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2004"	"2004"	"Male"	"M"	30	77457	38.7
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2005"	"2005"	"Male"	"M"	18	74002	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2006"	"2006"	"Male"	"M"	23	72884	31.6
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2007"	"2007"	"Male"	"M"	25	72873	34.3
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2008"	"2008"	"Male"	"M"	22	77909	28.2
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2009"	"2009"	"Male"	"M"	20	73423	27.2
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2010"	"2010"	"Male"	"M"	19	70235	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2011"	"2011"	"Male"	"M"	20	66606	30.0
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2012"	"2012"	"Male"	"M"	25	66509	37.6
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2013"	"2013"	"Male"	"M"	14	70989	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2014"	"2014"	"Male"	"M"	17	67430	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2015"	"2015"	"Male"	"M"	14	69736	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2016"	"2016"	"Male"	"M"	20	70170	28.5
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2017"	"2017"	"Male"	"M"	17	71059	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2018"	"2018"	"Male"	"M"	18	75039	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2019"	"2019"	"Male"	"M"	19	72326	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"38 years"	"38"	"2020 "	"2020"	"Male"	"M"	20	73051	27.4
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"1999"	"1999"	"Male"	"M"	39	85741	45.5
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2000"	"2000"	"Male"	"M"	30	85282	35.2
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2001"	"2001"	"Male"	"M"	38	83079	45.7
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2002"	"2002"	"Male"	"M"	18	81305	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2003"	"2003"	"Male"	"M"	32	81787	39.1
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2004"	"2004"	"Male"	"M"	28	82918	33.8
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2005"	"2005"	"Male"	"M"	31	76001	40.8
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2006"	"2006"	"Male"	"M"	26	72433	35.9
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2007"	"2007"	"Male"	"M"	23	71804	32.0
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2008"	"2008"	"Male"	"M"	21	72002	29.2
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2009"	"2009"	"Male"	"M"	24	77084	31.1
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2010"	"2010"	"Male"	"M"	21	74178	28.3
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2011"	"2011"	"Male"	"M"	21	68574	30.6
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2012"	"2012"	"Male"	"M"	19	66056	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2013"	"2013"	"Male"	"M"	15	66629	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2014"	"2014"	"Male"	"M"	13	69900	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2015"	"2015"	"Male"	"M"	19	66601	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2016"	"2016"	"Male"	"M"	18	68014	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2017"	"2017"	"Male"	"M"	17	68694	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2018"	"2018"	"Male"	"M"	14	68472	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2019"	"2019"	"Male"	"M"	17	73257	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"39 years"	"39"	"2020 "	"2020"	"Male"	"M"	34	70123	48.5
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"40 years"	"40"	"1999"	"1999"	"Male"	"M"	38	89031	42.7
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"40 years"	"40"	"2000"	"2000"	"Male"	"M"	33	89686	36.8
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"40 years"	"40"	"2001"	"2001"	"Male"	"M"	39	83947	46.5
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"40 years"	"40"	"2002"	"2002"	"Male"	"M"	35	81718	42.8
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"40 years"	"40"	"2003"	"2003"	"Male"	"M"	46	79960	57.5
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"40 years"	"40"	"2004"	"2004"	"Male"	"M"	29	80389	36.1
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"40 years"	"40"	"2005"	"2005"	"Male"	"M"	29	81167	35.7
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"40 years"	"40"	"2006"	"2006"	"Male"	"M"	29	74428	39.0
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"40 years"	"40"	"2007"	"2007"	"Male"	"M"	33	71542	46.1
